# time,x,y,z,qw,qx,qy,qz
0.000000000000000000e+00,2.503806948661804199e-01,1.104329466819763184e+00,-2.919063717126846313e-02,8.097184300422668457e-01,-1.106161624193191528e-03,-3.928780555725097656e-02,-5.855010151863098145e-01
3.333333333333333287e-02,2.500063180923461914e-01,1.106081247329711914e+00,-2.908069081604480743e-02,8.083291053771972656e-01,-1.909248530864715576e-03,-3.905756399035453796e-02,-5.874305963516235352e-01
6.666666666666666574e-02,2.461674511432647705e-01,1.107422471046447754e+00,-3.013299591839313507e-02,8.075622320175170898e-01,-1.305933925323188305e-03,-3.918697685003280640e-02,-5.884782075881958008e-01
1.000000000000000056e-01,2.457041591405868530e-01,1.106792688369750977e+00,-2.541082352399826050e-02,8.132874965667724609e-01,-1.347416266798973083e-02,-3.513104468584060669e-02,-5.806443691253662109e-01
1.333333333333333315e-01,2.412876337766647339e-01,1.110156893730163574e+00,-2.535576559603214264e-02,8.105283975601196289e-01,-1.241620257496833801e-02,-3.892926871776580811e-02,-5.842724442481994629e-01
1.666666666666666574e-01,2.364370375871658325e-01,1.111048936843872070e+00,-2.408962324261665344e-02,8.099424242973327637e-01,-1.213566213846206665e-02,-4.085041210055351257e-02,-5.849591493606567383e-01
2.000000000000000111e-01,2.284984439611434937e-01,1.111126899719238281e+00,-2.733967825770378113e-02,8.079347014427185059e-01,-1.217908412218093872e-02,-4.366959631443023682e-02,-5.875257253646850586e-01
2.333333333333333370e-01,2.197140306234359741e-01,1.110525727272033691e+00,-2.941443026065826416e-02,8.067737817764282227e-01,-1.330515369772911072e-02,-4.777468740940093994e-02,-5.887758731842041016e-01
2.666666666666666630e-01,2.124730050563812256e-01,1.109616279602050781e+00,-2.819879353046417236e-02,8.063457012176513672e-01,-1.178461313247680664e-02,-4.978688433766365051e-02,-5.892275571823120117e-01
2.999999999999999889e-01,2.086189687252044678e-01,1.108536601066589355e+00,-2.836152538657188416e-02,8.100937604904174805e-01,-3.829434048384428024e-03,-5.664008855819702148e-02,-5.835453271865844727e-01
3.333333333333333148e-01,2.018608748912811279e-01,1.109179735183715820e+00,-2.721090242266654968e-02,8.094213008880615234e-01,-4.826366901397705078e-03,-6.162961944937705994e-02,-5.839655399322509766e-01
3.666666666666666408e-01,1.974710226058959961e-01,1.111766934394836426e+00,-2.702583000063896179e-02,8.080305457115173340e-01,-7.775589823722839355e-03,-6.872796267271041870e-02,-5.850663185119628906e-01
4.000000000000000222e-01,1.946248859167098999e-01,1.112923979759216309e+00,-2.338571473956108093e-02,8.066333532333374023e-01,-8.361831307411193848e-03,-7.438579946756362915e-02,-5.862928628921508789e-01
4.333333333333333481e-01,1.933506727218627930e-01,1.114795207977294922e+00,-1.867223158478736877e-02,8.074952363967895508e-01,-8.388049900531768799e-03,-8.142898231744766235e-02,-5.841660499572753906e-01
4.666666666666666741e-01,1.957791149616241455e-01,1.117270350456237793e+00,-9.705193340778350830e-03,8.063078522682189941e-01,-5.785793066024780273e-03,-8.923407644033432007e-02,-5.846974849700927734e-01
5.000000000000000000e-01,2.039570659399032593e-01,1.118853926658630371e+00,4.044137895107269287e-03,8.038491606712341309e-01,-2.142131095752120018e-03,-9.556014090776443481e-02,-5.871031880378723145e-01
5.333333333333333259e-01,2.133437097072601318e-01,1.113029003143310547e+00,2.402020245790481567e-02,8.022880554199218750e-01,2.251848345622420311e-03,-9.683395922183990479e-02,-5.890262722969055176e-01
5.666666666666666519e-01,2.254510074853897095e-01,1.100862741470336914e+00,4.861396551132202148e-02,8.072665929794311523e-01,1.873251795768737793e-02,-9.625247120857238770e-02,-5.819841623306274414e-01
5.999999999999999778e-01,2.334806621074676514e-01,1.085749864578247070e+00,7.532134652137756348e-02,8.130487203598022461e-01,2.376293390989303589e-02,-9.136592596769332886e-02,-5.744903683662414551e-01
6.333333333333333037e-01,2.391731590032577515e-01,1.086207747459411621e+00,9.815032780170440674e-02,8.128851652145385742e-01,3.130366653203964233e-02,-9.104561805725097656e-02,-5.744114518165588379e-01
6.666666666666666297e-01,2.434787154197692871e-01,1.103456258773803711e+00,1.173857972025871277e-01,8.065237998962402344e-01,2.474053204059600830e-02,-8.887039124965667725e-02,-5.839605927467346191e-01
6.999999999999999556e-01,2.477220296859741211e-01,1.133691072463989258e+00,1.295088678598403931e-01,8.047595024108886719e-01,1.446145027875900269e-02,-9.745872765779495239e-02,-5.853674411773681641e-01
7.333333333333332815e-01,2.434754669666290283e-01,1.162224769592285156e+00,1.389375627040863037e-01,8.007517457008361816e-01,-9.524152847006917000e-04,-1.031062006950378418e-01,-5.900552272796630859e-01
7.666666666666666075e-01,2.359983175992965698e-01,1.178671956062316895e+00,1.540066301822662354e-01,8.010612726211547852e-01,-1.669695228338241577e-02,-1.014009863138198853e-01,-5.896945595741271973e-01
8.000000000000000444e-01,2.278511971235275269e-01,1.168291687965393066e+00,1.671814471483230591e-01,8.078751564025878906e-01,-1.082655787467956543e-02,-1.067109853029251099e-01,-5.795115232467651367e-01
8.333333333333333703e-01,2.197101116180419922e-01,1.140037178993225098e+00,1.757380068302154541e-01,8.155223131179809570e-01,-1.543709635734558105e-02,-1.193249523639678955e-01,-5.660799741744995117e-01
8.666666666666666963e-01,2.150294184684753418e-01,1.114654064178466797e+00,1.837798058986663818e-01,8.139289021492004395e-01,-4.450235283002257347e-04,-1.445004343986511230e-01,-5.627067089080810547e-01
9.000000000000000222e-01,2.162376493215560913e-01,1.096880912780761719e+00,2.070639580488204956e-01,8.176417946815490723e-01,9.908720850944519043e-03,-1.552845388650894165e-01,-5.543018579483032227e-01
9.333333333333333481e-01,2.252268195152282715e-01,1.101259946823120117e+00,2.354090213775634766e-01,8.169212937355041504e-01,1.808336377143859863e-02,-1.642912179231643677e-01,-5.525586605072021484e-01
9.666666666666666741e-01,2.351006567478179932e-01,1.125861406326293945e+00,2.694685161113739014e-01,8.072371482849121094e-01,3.972551226615905762e-02,-1.798017472028732300e-01,-5.607692003250122070e-01
1.000000000000000000e+00,2.482986450195312500e-01,1.151334524154663086e+00,3.175285458564758301e-01,8.080015778541564941e-01,4.912337660789489746e-02,-1.842987239360809326e-01,-5.574537515640258789e-01
1.033333333333333215e+00,2.686496973037719727e-01,1.158439517021179199e+00,3.784136474132537842e-01,8.063710927963256836e-01,4.126508533954620361e-02,-1.762545704841613770e-01,-5.630249381065368652e-01
1.066666666666666652e+00,2.936276495456695557e-01,1.133069276809692383e+00,4.428640007972717285e-01,8.163726925849914551e-01,5.246950685977935791e-02,-1.643689870834350586e-01,-5.511493086814880371e-01
1.100000000000000089e+00,3.137322664260864258e-01,1.077092170715332031e+00,5.146135091781616211e-01,8.333657979965209961e-01,6.646104156970977783e-02,-1.434608250856399536e-01,-5.296257734298706055e-01
1.133333333333333304e+00,3.252561092376708984e-01,1.012597560882568359e+00,5.991098880767822266e-01,8.588230609893798828e-01,4.772963374853134155e-02,-1.042623445391654968e-01,-4.992737770080566406e-01
1.166666666666666741e+00,3.278378546237945557e-01,9.748913645744323730e-01,6.949668526649475098e-01,8.595786094665527344e-01,4.577578976750373840e-02,-7.450458407402038574e-02,-5.034661889076232910e-01
1.199999999999999956e+00,3.107239902019500732e-01,9.704033136367797852e-01,8.097853064537048340e-01,8.372693061828613281e-01,3.560414910316467285e-02,-4.220257699489593506e-02,-5.439955592155456543e-01
1.233333333333333393e+00,2.914330065250396729e-01,9.997245669364929199e-01,9.262629747390747070e-01,8.207637071609497070e-01,3.111046925187110901e-02,-2.026525698602199554e-02,-5.700601935386657715e-01
1.266666666666666607e+00,2.815299034118652344e-01,1.042714357376098633e+00,1.029605627059936523e+00,8.199425935745239258e-01,6.939836591482162476e-02,-3.186688199639320374e-02,-5.673297047615051270e-01
1.300000000000000044e+00,2.764866948127746582e-01,1.084978938102722168e+00,1.116527438163757324e+00,8.234469890594482422e-01,1.010755151510238647e-01,-5.509762465953826904e-02,-5.555921196937561035e-01
1.333333333333333259e+00,2.693300843238830566e-01,1.094948768615722656e+00,1.187741398811340332e+00,8.256899714469909668e-01,9.304423630237579346e-02,-7.309720665216445923e-02,-5.515762567520141602e-01
1.366666666666666696e+00,2.642533183097839355e-01,1.073461294174194336e+00,1.253456950187683105e+00,8.291788697242736816e-01,1.104997843503952026e-01,-1.053786575794219971e-01,-5.377244949340820312e-01
1.399999999999999911e+00,2.589624524116516113e-01,1.050675153732299805e+00,1.313425540924072266e+00,8.247398138046264648e-01,1.242273449897766113e-01,-1.516362726688385010e-01,-5.304509401321411133e-01
1.433333333333333348e+00,2.655955553054809570e-01,1.073280334472656250e+00,1.361497044563293457e+00,8.140909075736999512e-01,1.208050921559333801e-01,-2.032671868801116943e-01,-5.304188132286071777e-01
1.466666666666666563e+00,2.636507749557495117e-01,1.116538643836975098e+00,1.423868298530578613e+00,8.220582604408264160e-01,7.753142714500427246e-02,-2.225356698036193848e-01,-5.183506608009338379e-01
1.500000000000000000e+00,2.547868490219116211e-01,1.166249752044677734e+00,1.516564965248107910e+00,8.147920966148376465e-01,6.067885458469390869e-02,-2.366042435169219971e-01,-5.257854461669921875e-01
1.533333333333333215e+00,2.526361644268035889e-01,1.192150354385375977e+00,1.634580850601196289e+00,8.057858943939208984e-01,6.344398856163024902e-02,-2.381478846073150635e-01,-5.384882688522338867e-01
1.566666666666666652e+00,2.654508948326110840e-01,1.184493780136108398e+00,1.769285202026367188e+00,7.968185544013977051e-01,7.643152773380279541e-02,-2.247314155101776123e-01,-5.556388497352600098e-01
